dir,workDir,nrg,nConv,irredKpts,aV,bV,cV,alpha,beta,gamma,vol,bgVBM,bgCBM,bgIND
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/10095,10095,-120.11725252,1,36,12.68138150652126058223,12.68346928259601056454,12.68137117032691228627,89.99096109701416428719,89.99061674976966152903,89.99185128460459687896,2039.72128407352763007100,2.1036100000000006,2.033587,2.0324160000000004
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/10131,10131,-119.96436662,1,36,12.72606414837779883722,12.72565906148947963204,12.72744572775639459158,89.99099275101477480358,89.99065040701430002947,89.99187946328551122463,2061.17862363541813412606,1.7797969999999999,1.6851630000000002,1.650827
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/1015,1015,-119.96597991,1,36,12.70993385350150891656,12.70987685366657696707,12.70803003927015068197,89.99098013028033266053,89.99063739571769340639,89.99186915811506169773,2052.87662639436131802351,1.7776740000000002,1.6804159999999997,1.6470319999999998
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/10257,10257,-119.96436788,1,36,12.72609975897752557157,12.72769428667955139800,12.72568601066668997585,89.99099280537796861913,89.99064986154604786187,89.99188004667689771389,2061.22900999495078463005,1.782067,1.686166,1.6525050000000001
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/11084,11084,-119.96435397,1,36,12.72615625247709355280,12.72752487728037800631,12.72575097746630991263,89.99099277083212609277,89.99064990609182952759,89.99188001975310346658,2061.22124730913351009027,1.7792379999999999,1.681269,1.646953
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/1115,1115,-119.96627784,1,36,12.70793583661685430359,12.70921442246981862089,12.70894086236480629586,89.99098023748571355765,89.99063684086922077795,89.99186824312549579951,2052.59403893090373013485,1.7780360000000002,1.6830530000000001,1.648323
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/11754,11754,-119.96441367,1,36,12.72735194089910140200,12.72558164881776355499,12.72748219725307900732,89.99280953237825439188,89.99074747229783892818,89.99101758685341148577,2061.38057323084717293878,1.7823220000000002,1.68506,1.650004
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/1778,1778,-119.96708575,1,36,12.70791238252882015481,12.70834543388682236157,12.70810407178048485691,89.99279903760434027431,89.99073322773084441235,89.99100438276631538488,2052.31477181942114592369,1.77785,1.6792949999999998,1.645769
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/1785,1785,-119.96586474,1,36,12.70897248642173631779,12.70990037438058468835,12.71012571676717582060,89.99280006727493364913,89.99073441327239579334,89.99100528628869507268,2053.06366705125787500027,1.7773089999999998,1.679459,1.6455409999999997
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/2612,2612,-119.96738254,1,36,12.70741229210268538648,12.70837042270654992812,12.70646322311231561716,89.99192573512766522009,89.99109597728129484012,89.99027988416520153915,2051.97305523108828369978,1.777523,1.68329,1.6475110000000002
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/2738,2738,-119.96585065,1,36,12.71804837885108351278,12.71963709452124418395,12.71962067892830780894,89.99193352852815152340,89.99110451846718137166,89.99028835386976282653,2057.63973191085680135180,1.778276,1.681514,1.6486290000000001
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/2774,2774,-120.11755801,1,36,12.68178386472738032293,12.68330754249685661655,12.68314565736162081395,89.99191015969069589157,89.99107877829495984924,89.99026033773169779493,2040.04540912642780121044,2.102719,2.0318189999999996,2.030604
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/2886,2886,-120.11745122,1,36,12.68213001042569280815,12.68318630809777909821,12.68126947337365960284,89.99190954657642225210,89.99107811030331114333,89.99026039891491686337,2039.77980727253146415996,2.1034539999999997,2.0326750000000002,2.031387
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/2915,2915,-119.96425192,1,36,12.72567631491412945001,12.72804511335768049571,12.72589743298829315078,89.99193826249665372757,89.99110934429341816258,89.99029456309933523228,2061.25148276614814115999,1.7839800000000001,1.687792,1.6515330000000001
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/2999,2999,-119.96444758,1,36,12.72705626760744953330,12.72896512385073031389,12.72676333408277528097,89.99193883437088715771,89.99111010670485736241,89.99029542162322413172,2061.76428748191563498496,1.7826940000000002,1.688113,1.6535579999999999
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/3297,3297,-119.96657572,1,36,12.70996587796528322236,12.70777395538402153798,12.70797946042804471816,89.99114985047562233614,89.98896945722750159613,89.99097115485858744062,2052.53395779728411961769,1.778753,1.680154,1.646741
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/3471,3471,-119.96682055,1,36,12.70913796997214069072,12.70982047137233416898,12.70758139123116013464,89.99115043265782994057,89.98896892382402147199,89.99097150600586417928,2052.66648597067321326168,1.777977,1.682842,1.6479979999999999
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/3982,3982,-119.96674709,1,36,12.70913358637217670091,12.70763223978483109548,12.70966144371488751468,89.99115038888819397037,89.98896984211011491149,89.99097078544181107159,2052.64830813833229550969,1.7774549999999998,1.6799300000000001,1.6457519999999999
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/4082,4082,-119.96702813,1,36,12.70649721249401911944,12.70779866218388001843,12.70766861063047688640,89.99114975043044238414,89.98896782249140782482,89.99096981716891411711,2051.92759865157881440642,1.7783989999999998,1.6811189999999998,1.6476059999999997
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/4089,4089,-119.96700488,1,36,12.70622863249624458909,12.70539935449758757319,12.70734275493302679238,89.99114879030163089601,89.98896756235020024140,89.99096892446311654894,2051.44421330376016908226,1.778667,1.6822139999999997,1.6486789999999996
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/4209,4209,-119.96597212,1,36,12.70960418217355767661,12.71060846340381456110,12.70843855953795416296,89.99014965687906664879,89.98950161438296156392,89.99124073390989303123,2053.00752368955624153343,1.777205,1.6784999999999997,1.6452149999999999
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/4249,4249,-120.11762324,1,36,12.68496512236657908034,12.68550969057219585963,12.68367294762723167882,89.99013013358406698226,89.98948101855450881992,89.99122343328267955856,2040.99628772234442402886,2.1033619999999997,2.0308819999999996,2.0304849999999997
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/4304,4304,-119.96531194,1,36,12.71786964280897448576,12.71749881315770605447,12.71944831595404617873,89.99015649481026099293,89.98950966374540436218,89.99124606319993964291,2057.23702003169948769520,1.7784110000000002,1.6814520000000002,1.648698
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/4424,4424,-119.96731260,1,36,12.70685975349502058637,12.70790904892189201649,12.70561010065953420183,89.99014750228447672942,89.98949929423754111580,89.99123883916496289350,2051.67156470637516757908,1.778193,1.6812,1.6464159999999999
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/4431,4431,-119.96660533,1,36,12.70699747169394284501,12.70605045773434371288,12.70594815685695488317,89.99014682945683053899,89.98949949492083544116,89.99123833437745569600,2051.44831221139032679367,1.7781890000000002,1.681981,1.6477750000000002
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/4531,4531,-119.96705466,1,36,12.70663433849678294861,12.70512768164052763820,12.70529260716195633081,89.99014620310982644049,89.98949906704066714472,89.99123791338443795033,2051.13487350741944808516,1.7777819999999998,1.6821450000000002,1.646426
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/4572,4572,-120.11720092,1,36,12.68463663728412899549,12.68394865664029427974,12.68606929654485917296,89.99142871502479017268,89.99043076641106984068,89.99049996229912049248,2041.07784453694186964904,2.102351,2.030902,2.029501
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/4884,4884,-119.96661433,1,36,12.70956769639604300393,12.71025088723058256535,12.70831336854343454311,89.99144552024555508363,89.99044878292320414401,89.99051928762529739787,2052.92366058664605484149,1.777879,1.68187,1.647538
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/5152,5152,-120.11740983,1,36,12.68288726519735545568,12.68418106293843606908,12.68395876255450104696,89.99142824231792463052,89.99042931416714864944,89.99049942429361842939,2040.49422137777751034846,2.104966,2.034516,2.033195
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/5180,5180,-119.96439334,1,36,12.72628664207032493091,12.72767342139214751259,12.72799030745401101942,89.99145793881803834567,89.99046242309689381593,89.99053211895160199039,2061.62913481283051564297,1.782873,1.6866970000000001,1.653229
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/5326,5326,-119.96678807,1,36,12.70780864910928929442,12.70657434915984503051,12.70868040614176417505,89.99144410840098297900,89.99044816507463039645,89.99051721008420083505,2052.10505370849227096878,1.777489,1.6807340000000002,1.646992
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/5372,5372,-120.11771169,1,36,12.68344690309312273002,12.68557715822728389438,12.68560507914698030882,89.99142926148717233184,89.99043010649455421719,89.99050017720218111733,2041.07374487816960414846,2.0301359999999997,2.0301359999999997,2.0301359999999997
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/5613,5613,-119.96435512,1,36,12.72758967066053950655,12.72774302559159531690,12.72766652175548105362,89.99145788068794060829,89.99046286208174062019,89.99053261219722032811,2061.79904692200685504025,1.7850899999999998,1.6896520000000002,1.654074
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/6504,6504,-119.96624638,1,36,12.70890237618764153703,12.70967939678483873413,12.70962811570940538531,89.98898357999048946246,89.99274326315406360581,89.99120693604097973898,2052.93626038115946162976,1.7779029999999998,1.680403,1.64569
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/6770,6770,-119.96655145,1,36,12.70861209688912394532,12.70903408948961663695,12.70888384711459450557,89.98898297355009902323,89.99274295728589463259,89.99120661539546212879,2052.66492894308239777018,1.776688,1.6804219999999996,1.645308
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/7256,7256,-119.96706282,1,36,12.70656341606894572608,12.70595975864304567925,12.70776924007985579081,89.98981053972566800658,89.99280318104228698518,89.99120774944406847717,2051.65762229031763015842,1.7793259999999997,1.680695,1.6468729999999998
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/7497,7497,-120.11786396,1,36,12.68297680678697871213,12.68320496601463887270,12.68135449452666206298,89.98979069520930805445,89.99278888092253548152,89.99119155752018640497,2039.93268442280621863286,2.1022730000000003,2.03153,2.0301970000000003
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/7543,7543,-119.96418813,1,36,12.72667692166863758007,12.72590259009316283858,12.72762510446990315647,89.98982659245205083635,89.99281460517436246442,89.99122170449880401128,2061.34637014929804920845,1.7807340000000003,1.6838699999999998,1.650397
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/7689,7689,-119.96675329,1,36,12.70899913105678242625,12.70960541911561124742,12.70779889687969020859,89.98981207909213359439,89.99280391854359659529,89.99120988595734759246,2052.64447911130882418733,1.778044,1.680208,1.645658
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/7717,7717,-120.11744132,1,36,12.68174644029314813794,12.68400718400857764021,12.68386633321267587196,89.98979201288895661146,89.99278919907088207003,89.99119143228483844626,2040.26784880728205172220,2.1040270000000003,2.0337619999999994,2.0325169999999995
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/7985,7985,-119.96468570,1,36,12.72675846105640982731,12.72511653922990830182,12.72528957554569575492,89.99142736339573607568,89.99053779875807927100,89.98975639373059213984,2060.85400248356056954546,1.7817660000000002,1.686318,1.65197
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/8297,8297,-120.11705724,1,36,12.68237304927018630317,12.68194812652547078455,12.68386140453686463434,89.99139849105791527175,89.99050567255703653532,89.98972074946294365865,2040.03663195293712679676,2.104508,2.034293,2.0330129999999995
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/8438,8438,-119.96452114,1,36,12.72695385145503337841,12.72586221712481996238,12.72801638202659758723,89.99142851284550898443,89.99053901536781347782,89.98975676567147344382,2061.44804540589304986286,1.782836,1.686521,1.652107
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/8445,8445,-119.96421272,1,36,12.72593326996222284186,12.72769691811230404071,12.72568470994292746781,89.99142840798938331730,89.99053769623304118685,89.98975704567865281803,2061.20224888488295217286,1.7845000000000004,1.689066,1.6530710000000002
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/8565,8565,-119.96438876,1,36,12.72675536055643086946,12.72558041422674256338,12.72779631682813969733,89.99142834137975458153,89.99053885750729283808,89.98975657239483954787,2061.33460588853922913305,1.7820900000000002,1.686738,1.653069
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/8620,8620,-120.11714754,1,36,12.68474426818507616672,12.68374032943276034544,12.68377200574407553315,89.99233560463895690602,89.99122915130363728990,89.98924585074450747786,2040.69202959268970216481,2.1031530000000003,2.0326899999999997,2.0314609999999997
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/8660,8660,-119.96422686,1,36,12.72602844656817834595,12.72832246585489075099,12.72614916591050171022,89.99236199724694518902,89.99125822585879795727,89.98928236160970455864,2061.39420919041492856593,1.785418,1.691932,1.6544349999999999
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/8780,8780,-119.96454941,1,36,12.72671732846290832357,12.72502223937539318699,12.72539699141463348967,89.99236082910390378228,89.99125821237092731444,89.98928128308329461018,2060.84947143394746307297,1.780723,1.684462,1.650531
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/8887,8887,-119.96440850,1,36,12.72646127378016289022,12.72563669380941152480,12.72548788231206093021,89.99008720834137518861,89.99028979924461354594,89.99273443880294862862,2060.92224005890055604721,1.7811049999999997,1.6833500000000003,1.650894
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/9572,9572,-119.96440168,1,36,12.72775825267232787888,12.72621005780571138461,12.72641310480597608267,89.99008779069133254052,89.99029066495241158190,89.99273496467217064352,2061.37500269391088083415,1.779449,1.682705,1.648832
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/9870,9870,-119.96678463,1,36,12.70736775116140192901,12.70944484676588684275,12.70739126335011267034,89.99131118818378061987,89.99109514205905554760,89.99071315387341804366,2052.28922662214095451446,1.779103,1.6827599999999996,1.6483779999999997
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/9954,9954,-119.96730258,1,36,12.70781057145924280282,12.70608402098426113383,12.70598064336269711802,89.99130968769912514421,89.99109465378671012143,89.99071201101382693024,2051.59025930942265039336,1.7769810000000001,1.6825080000000003,1.6475240000000002
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/9983,9983,-120.11727367,1,36,12.68263228758224882113,12.68188973611682187842,12.68205597647655626513,89.99129307599426780222,89.99107736518420403566,89.99069380095726938333,2039.77856316609659632924,2.105599,2.035443,2.0341409999999995
